video_id,title,publish_time,views,likes,comments,like_to_view_ratio,year
K2GfrERtliU,Amazon Athena in AWS | AWS Fundamentals,2024-09-17 12:00:24+00:00,12562,239,9,0.0190256328610093,2024
xmVyaT-RuVo,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11 03:20:13+00:00,5921,199,8,0.0336091876372234,2024
amb9bciHGSI,Landing a Data Job Course on Analyst Builder,2024-09-03 12:00:05+00:00,23792,823,96,0.0345914593140551,2024
hgaVi4sOHkM,S3 Storage in AWS | AWS Essentials,2024-08-27 12:00:47+00:00,9157,187,12,0.0204215354373703,2024
YSjbGET6R1A,AWS Setup and UI Walkthough | AWS,2024-08-20 12:00:41+00:00,10817,271,15,0.0250531570675788,2024
vDVcXXfc9e8,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13 12:01:05+00:00,23587,342,14,0.014499512443295,2024
Vg6ys_JvXzg,August Q/A Livestream! Come Ask Me Anything!,2024-08-09 15:17:26+00:00,5316,223,18,0.041948833709556,2024
sge9qTf8GdY,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06 12:00:57+00:00,29110,473,24,0.0162487117828924,2024
9ur0OpMADuM,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30 12:00:10+00:00,34694,631,21,0.0181875828673545,2024
UTMuL_86gSQ,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25 12:00:34+00:00,54380,1563,162,0.0287421846267009,2024
sEImMaovc1Q,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23 12:01:00+00:00,11772,223,10,0.0189432551817872,2024
ZYps6TmBkWk,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16 12:00:38+00:00,20556,458,29,0.0222805993383926,2024
zv1nfZTYpio,Building a Fully Interactive Web App using Shiny for Python,2024-07-09 12:01:07+00:00,14138,368,23,0.0260291413212618,2024
rn0dSsYXhIE,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02 12:01:00+00:00,5831,168,12,0.0288115246098439,2024
siHou7lObbo,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25 12:00:53+00:00,12882,316,36,0.0245303524297469,2024
wJiJXD7MVoY,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18 12:00:06+00:00,13693,812,132,0.0593003724530782,2024
BzwAZ1k3WEY,Top 5 Most Common Excel Functions in Excel,2024-06-11 12:00:10+00:00,8737,375,9,0.0429209110678722,2024
5q2u8__sVhs,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04 12:00:09+00:00,6215,237,17,0.0381335478680611,2024
UJbNEH0_nGY,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28 12:00:23+00:00,7018,234,11,0.0333428327158734,2024
oz2K4HUNMW4,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21 12:00:53+00:00,15918,451,27,0.0283327051137077,2024
Y-4ri9QjsTI,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14 12:00:28+00:00,5638,88,10,0.0156083717630365,2024
F5v2dRYU5IA,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07 15:16:53+00:00,101272,3205,77,0.0316474445058851,2024
_R6K1aNtKpE,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07 12:00:30+00:00,2518,65,11,0.0258141382049245,2024
5tKmTdvEAVk,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30 12:00:07+00:00,6696,213,35,0.0318100358422939,2024
QYd-RtK58VQ,MySQL Exploratory Data Analysis | Full Project,2024-04-23 12:00:21+00:00,117625,2815,133,0.0239319872476089,2024
c5ko0sedE7k,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18 18:35:41+00:00,5186,229,14,0.044157346702661,2024
4UltKCnnnTA,Data Cleaning in MySQL | Full Project,2024-04-16 12:00:05+00:00,280261,6177,885,0.0220401696989591,2024
BV5ckMNNvi4,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09 12:00:08+00:00,8949,283,84,0.0316236451000111,2024
QMUZ5HfWMRc,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02 12:00:19+00:00,101705,3368,129,0.0331153827245464,2024
7b8ViCqD9JM,How to give up on the job search fast,2024-03-27 12:19:35+00:00,27279,2063,30,0.0756259393672788,2024
7vnxpcqmqNQ,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26 12:00:12+00:00,107278,2075,72,0.0193422696172561,2024
uEk07jXdKOo,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19 12:00:56+00:00,73210,1546,60,0.0211173336975822,2024
UC7uvOqcUTs,CTEs in MySQL | Advanced MySQL Series,2024-03-12 12:00:23+00:00,124427,2083,64,0.0167407395500976,2024
1KEbiqRWOkA,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05 13:00:01+00:00,19836,751,50,0.0378604557370437,2024
UOBTLzWY1vs,#DataAnalyst #AnalystBuilder #SQL,2024-03-01 13:43:29+00:00,21226,1490,17,0.0701969282954866,2024
8zOkBTs0yxs,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29 17:10:18+00:00,5622,189,7,0.0336179295624333,2024
